UID          PID    PPID  C STIME TTY          TIME CMD
root        1554    1481  0 14:04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-authe6916979-c6bd-4e36-b5fa-a64ad0e31d93 --id 1 --start env LXQT_DEFAULT_OPENBOX_CONFIG="/etc/xdg/xdg-Lubuntu/openbox/lxqt-rc.xml" /usr/bin/startlxqt --user user
user        1570       1  0 14:04 ?        00:00:00 /lib/systemd/systemd --user
user        1571    1570  0 14:04 ?        00:00:00 (sd-pam)
user        1576    1570  0 14:04 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
user        1582    1570  0 14:04 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
user        1583    1554  0 14:04 ?        00:00:00 lxqt-session
user        1630       1  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --clipboard
user        1632    1630  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --clipboard
user        1642       1  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --seamless
user        1644    1642  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --seamless
user        1648       1  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
user        1649    1648  0 14:04 ?        00:00:03 /usr/bin/VBoxClient --draganddrop
user        1654       1  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
user        1655    1654  0 14:04 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
user        1659    1583  0 14:04 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env LXQT_DEFAULT_OPENBOX_CONFIG=/etc/xdg/xdg-Lubuntu/openbox/lxqt-rc.xml /usr/bin/startlxqt
user        1679    1583  0 14:04 ?        00:00:01 /usr/bin/openbox --config-file /home/user/.config/openbox/lxqt-rc.xml
user        1682       1  0 14:04 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
user        1684       1  0 14:04 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
user        1689    1682  0 14:04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
user        1695    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfsd
user        1698    1583  0 14:04 ?        00:00:06 /usr/bin/pcmanfm-qt --desktop --profile=lxqt
user        1701    1583  0 14:04 ?        00:00:01 /usr/bin/lxqt-globalkeysd
user        1703    1583  0 14:04 ?        00:00:00 /usr/bin/lxqt-notificationd
user        1704    1583  0 14:04 ?        00:00:03 /usr/bin/lxqt-panel
user        1706    1583  0 14:04 ?        00:00:00 /usr/bin/lxqt-policykit-agent
user        1707    1583  0 14:04 ?        00:00:01 /usr/bin/lxqt-runner
user        1710       1  0 14:04 ?        00:00:00 /usr/bin/xscreensaver -no-splash
user        1712       1  0 14:04 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
user        1720    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
user        1730       1  0 14:04 ?        00:00:00 /bin/sh /usr/lib/lubuntu-update-notifier/lubuntu-upg-notifier.sh
user        1754    1695  0 14:04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
user        1785    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
user        1797    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
user        1801    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
user        1807    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
user        1811    1570  0 14:04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1822       1  0 14:04 ?        00:00:00 /usr/lib/upower/upowerd
user        1841    1730  0 14:04 ?        00:00:00 sleep 3600
user        1842    1583  0 14:04 ?        00:00:00 /usr/bin/lxqt-powermanagement
user        1844       1  0 14:04 ?        00:00:01 /usr/bin/qlipper
user        1846       1  0 14:04 ?        00:00:01 /usr/bin/nm-tray
user        1856    1570  0 14:05 ?        00:00:00 /usr/libexec/gvfsd-metadata
user        1874       1  0 14:06 ?        00:00:04 qterminal
user        1877    1874  0 14:06 pts/0    00:00:00 /bin/bash
root        2001       2  0 14:09 ?        00:00:00 [kworker/u10:0-events_power_efficient]
root        2195       2  0 14:17 ?        00:00:00 [kworker/0:0-events]
root        2196       2  0 14:17 ?        00:00:00 [kworker/0:1-cgroup_destroy]
user        2210    1877  0 14:18 pts/0    00:00:00 ps -ef
user        2211    1877  0 14:18 pts/0    00:00:00 tee
